order_id,order_date,city,category,product_name,quantity,unit_price,discount_pct,total_amount,customer_id,return_flag,sales_channel,payment_method
DT-20240069,2024-01-01,Ibadan,Home & Garden,Table Lamp,1,24.03,0,24.03,CUST-0139,N,Online,Cash
DT-20240027,2024-01-02,Abuja,Home & Garden,Table Lamp,4,26.68,0,106.72,CUST-0034,N,Online,Card
DT-20240073,2024-01-02,Abuja,Beauty & Health,Face Moisturiser,4,18.72,0,74.88,CUST-0077,N,In-Store,Bank Transfer
DT-20240215,2024-01-03,Enugu,Electronics,USB-C Hub,4,25.03,15,85.1,CUST-0053,N,In-Store,Bank Transfer
DT-20240362,2024-01-04,Port Harcourt,Electronics,Wireless Headphones,5,49.33,0,246.65,CUST-0031,N,Online,Cash
DT-20240191,2024-01-05,Lagos,Books & Stationery,Notebook A5,2,7.34,15,12.48,CUST-0117,N,In-Store,Cash
DT-20240232,2024-01-05,Lagos,Electronics,Wireless Headphones,2,47.5,0,95.0,CUST-0088,N,Marketplace,Bank Transfer
DT-20240249,2024-01-05,Jos,Sports & Outdoors,Yoga Mat,2,26.61,0,53.22,CUST-0001,N,Online,Cash
DT-20240280,2024-01-07,Kaduna,Toys & Games,Board Game,3,33.64,5,95.87,CUST-0160,N,Phone,Bank Transfer
DT-20240326,2024-01-07,Port Harcourt,Books & Stationery,Fountain Pen,5,17.63,5,83.74,CUST-0007,N,Online,Bank Transfer
DT-20240300,2024-01-08,Owerri,Clothing,Running Shoes,2,64.52,0,129.04,CUST-0136,N,In-Store,Card
DT-20240192,2024-01-09,Port Harcourt,Food & Drink,Herbal Tea Pack,3,10.68,0,32.04,CUST-0071,N,Online,Bank Transfer
DT-20240150,2024-01-12,Lagos,Sports & Outdoors,Yoga Mat,2,29.37,5,55.8,CUST-0101,N,Marketplace,Card
DT-20240355,2024-01-12,Abuja,Clothing,Cotton T-Shirt,2,15.18,0,30.36,CUST-0033,N,Online,Cash
DT-20240102,2024-01-14,Ibadan,Food & Drink,Coffee Beans 1kg,6,21.19,10,114.43,CUST-0169,N,Online,Bank Transfer
DT-20240124,2024-01-14,Kano,Clothing,Denim Jeans,1,42.31,15,35.96,CUST-0102,N,Online,Wallet
DT-20240207,2024-01-14,Jos,Clothing,Cotton T-Shirt,1,16.06,20,12.85,CUST-0119,Y,Online,Cash
DT-20240481,2024-01-14,Abuja,Electronics,USB-C Hub,3,25.62,10,69.17,CUST-0022,N,Online,Cash
DT-20240243,2024-01-16,Abuja,Electronics,Bluetooth Speaker,4,33.82,0,135.28,CUST-0110,N,Online,Cash
DT-20240340,2024-01-16,Kano,Clothing,Ankara Dress,1,46.29,15,39.35,CUST-0137,N,In-Store,Cash
DT-20240455,2024-01-16,Abuja,Electronics,Bluetooth Speaker,5,36.88,0,184.4,CUST-0097,N,Phone,Card
DT-20240406,2024-01-17,Lagos,Clothing,Ankara Dress,2,43.39,0,86.78,CUST-0125,N,Online,Card
DT-20240445,2024-01-17,Ibadan,Beauty & Health,Face Moisturiser,1,18.16,10,16.34,CUST-0155,N,Marketplace,
DT-20240453,2024-01-19,Ibadan,Electronics,Smart Watch,4,126.77,15,431.02,CUST-0124,N,In-Store,Bank Transfer
DT-20240486,2024-01-22,Lagos,Clothing,Ankara Dress,2,48.16,10,86.69,CUST-0137,N,Marketplace,Bank Transfer
DT-20240034,2024-01-23,Enugu,Clothing,Ankara Dress,6,45.29,0,271.74,CUST-0001,N,Phone,Card
DT-20240245,2024-01-24,Kano,Food & Drink,Herbal Tea Pack,4,9.64,0,38.56,CUST-0099,Y,Online,Card
DT-20240309,2024-01-24,Lagos,Electronics,Bluetooth Speaker,3,34.88,0,104.64,CUST-0036,N,Online,Cash
DT-20240304,2024-01-25,Enugu,Food & Drink,Herbal Tea Pack,3,10.3,0,30.9,CUST-0107,N,Online,Cash
DT-20240462,2024-01-26,Lagos,Sports & Outdoors,Hiking Backpack,1,66.59,0,66.59,CUST-0121,Y,Online,Bank Transfer
DT-20240079,2024-01-29,Abuja,Sports & Outdoors,Yoga Mat,3,28.2,15,71.91,CUST-0096,N,Online,
DT-20240180,2024-01-29,Lagos,Food & Drink,Protein Powder,1,29.44,0,29.44,CUST-0075,N,Marketplace,Cash
DT-20240387,2024-02-02,Owerri,Electronics,Bluetooth Speaker,3,37.52,0,112.56,CUST-0122,N,Online,Card
DT-20240103,2024-02-05,Lagos,Electronics,Bluetooth Speaker,2,37.43,0,74.86,CUST-0163,Y,Online,Bank Transfer
DT-20240142,2024-02-07,Lagos,Electronics,USB-C Hub,3,26.99,5,76.92,CUST-0082,N,Online,Cash
DT-20240147,2024-02-07,Enugu,Home & Garden,Cookware Set,2,96.68,10,174.02,CUST-0041,N,In-Store,Card
DT-20240152,2024-02-07,Kano,Sports & Outdoors,Hiking Backpack,2,64.83,5,123.18,CUST-0116,N,Online,Bank Transfer
DT-20240493,2024-02-07,Lagos,Home & Garden,Table Lamp,3,24.45,15,62.35,CUST-0065,N,Online,Card
DT-20240415,2024-02-09,Enugu,Toys & Games,Board Game,4,34.3,0,137.2,CUST-0124,N,Phone,Wallet
DT-20240144,2024-02-10,Abuja,Clothing,Denim Jeans,3,39.67,0,119.01,CUST-0163,Y,Online,Wallet
DT-20240195,2024-02-12,Port Harcourt,Sports & Outdoors,Yoga Mat,2,28.07,5,53.33,CUST-0112,N,Online,Cash
DT-20240128,2024-02-13,Port Harcourt,Sports & Outdoors,Hiking Backpack,3,65.37,0,196.11,CUST-0093,N,In-Store,Bank Transfer
DT-20240212,2024-02-13,Lagos,Food & Drink,Herbal Tea Pack,2,10.14,0,20.28,CUST-0037,N,Online,Bank Transfer
DT-20240307,2024-02-15,Owerri,Electronics,USB-C Hub,3,26.7,5,76.09,CUST-0147,N,Online,Card
DT-20240066,2024-02-16,Abuja,Home & Garden,Table Lamp,1,24.0,0,24.0,CUST-0173,N,In-Store,Card
DT-20240113,2024-02-16,Ibadan,Electronics,USB-C Hub,1,25.21,15,21.43,CUST-0130,N,In-Store,
DT-20240349,2024-02-16,Kano,Clothing,Denim Jeans,3,42.62,15,108.68,CUST-0129,N,Online,Bank Transfer
DT-20240457,2024-02-17,Kano,Clothing,Ankara Dress,2,44.0,0,88.0,CUST-0007,N,Marketplace,Cash
DT-20240464,2024-02-17,Kaduna,Sports & Outdoors,Water Bottle,1,13.71,15,11.65,CUST-0179,N,In-Store,Bank Transfer
DT-20240414,2024-02-18,Lagos,Sports & Outdoors,Water Bottle,5,13.73,5,65.22,CUST-0092,N,Online,Bank Transfer
DT-20240336,2024-02-19,Lagos,Clothing,Running Shoes,1,60.79,10,54.71,CUST-0138,N,In-Store,Card
DT-20240458,2024-02-20,Kaduna,Electronics,Bluetooth Speaker,4,37.44,5,142.27,CUST-0133,N,Online,Card
DT-20240344,2024-02-21,Abuja,Electronics,Smart Watch,2,135.75,0,271.5,CUST-0018,Y,Online,Bank Transfer
DT-20240271,2024-02-23,Lagos,Beauty & Health,Face Moisturiser,1,18.44,15,15.67,CUST-0044,Y,Online,Card
DT-20240322,2024-02-23,Kano,Food & Drink,Herbal Tea Pack,5,10.5,10,47.25,CUST-0154,N,Online,Cash
DT-20240375,2024-02-24,Lagos,Sports & Outdoors,Hiking Backpack,1,63.49,0,63.49,CUST-0021,N,In-Store,Card
DT-20240031,2024-02-25,Kano,Sports & Outdoors,Hiking Backpack,5,68.52,10,308.34,CUST-0010,N,Online,Cash
DT-20240101,2024-02-25,Abuja,Books & Stationery,Fountain Pen,3,16.92,0,50.76,CUST-0143,N,Phone,Card
DT-20240490,2024-02-26,Enugu,Electronics,Power Bank,3,19.33,15,49.29,CUST-0065,N,In-Store,Wallet
DT-20240012,2024-02-27,Owerri,Sports & Outdoors,Water Bottle,5,13.95,15,59.29,CUST-0079,N,Online,Bank Transfer
DT-20240399,2024-02-27,Abuja,Electronics,USB-C Hub,1,25.81,15,21.94,CUST-0112,N,Online,Card
DT-20240482,2024-02-27,Ibadan,Sports & Outdoors,Hiking Backpack,1,62.86,15,53.43,CUST-0152,N,In-Store,
DT-20240071,2024-02-28,Kano,Food & Drink,Protein Powder,2,31.26,0,62.52,CUST-0031,N,Online,Card
DT-20240310,2024-02-28,Kano,Clothing,Running Shoes,1,64.44,10,58.0,CUST-0117,N,Online,Card
DT-20240372,2024-02-29,Abuja,Sports & Outdoors,Hiking Backpack,2,69.86,5,132.73,CUST-0098,N,Marketplace,Card
DT-20240278,2024-03-02,Owerri,Toys & Games,Board Game,5,35.52,10,159.84,CUST-0115,N,Marketplace,Bank Transfer
DT-20240013,2024-03-06,Ibadan,Food & Drink,Protein Powder,2,28.82,0,57.64,CUST-0141,N,In-Store,Cash
DT-20240143,2024-03-07,Kano,Sports & Outdoors,Hiking Backpack,4,62.82,5,238.72,CUST-0015,N,In-Store,Cash
DT-20240312,2024-03-07,Port Harcourt,Clothing,Running Shoes,3,63.07,15,160.83,CUST-0125,N,Online,Cash
DT-20240171,2024-03-09,Kano,Sports & Outdoors,Water Bottle,5,12.54,0,62.7,CUST-0117,N,In-Store,Card
DT-20240251,2024-03-09,Ibadan,Beauty & Health,Vitamin C Serum,2,23.94,20,38.3,CUST-0101,N,In-Store,Card
DT-20240225,2024-03-10,Jos,Sports & Outdoors,Hiking Backpack,6,66.58,5,379.51,CUST-0106,Y,Marketplace,Cash
DT-20240391,2024-03-10,Abuja,Electronics,Wireless Headphones,2,50.36,0,100.72,CUST-0121,N,In-Store,Card
DT-20240119,2024-03-11,Lagos,Clothing,Ankara Dress,6,44.55,0,267.3,CUST-0076,N,Online,Card
DT-20240429,2024-03-11,Lagos,Books & Stationery,Notebook A5,6,7.5,0,45.0,CUST-0098,N,In-Store,Card
DT-20240250,2024-03-13,Enugu,Sports & Outdoors,Hiking Backpack,2,62.62,0,125.24,CUST-0024,N,Online,Card
DT-20240424,2024-03-13,Enugu,Clothing,Denim Jeans,2,39.05,0,78.1,CUST-0172,N,In-Store,Cash
DT-20240500,2024-03-13,Port Harcourt,Food & Drink,Herbal Tea Pack,3,9.68,15,24.68,CUST-0005,N,Marketplace,
DT-20240183,2024-03-14,Kaduna,Electronics,USB-C Hub,2,24.34,0,48.68,CUST-0015,N,Marketplace,Cash
DT-20240125,2024-03-15,Lagos,Books & Stationery,Fountain Pen,2,16.64,0,33.28,CUST-0074,Y,In-Store,Card
DT-20240350,2024-03-15,Enugu,Books & Stationery,Notebook A5,1,7.33,0,7.33,CUST-0124,Y,Online,Bank Transfer
DT-20240431,2024-03-15,Ibadan,Sports & Outdoors,Yoga Mat,2,29.73,10,53.51,CUST-0145,Y,Online,Card
DT-20240028,2024-03-17,Port Harcourt,Sports & Outdoors,Water Bottle,3,13.53,0,40.59,CUST-0095,N,Online,Bank Transfer
DT-20240193,2024-03-17,Abuja,Home & Garden,Cookware Set,4,93.38,15,317.49,CUST-0159,N,Phone,Card
DT-20240114,2024-03-18,Jos,Books & Stationery,Notebook A5,4,7.05,10,25.38,CUST-0116,N,Marketplace,Bank Transfer
DT-20240474,2024-03-19,Abuja,Electronics,Smart Watch,1,131.52,0,131.52,CUST-0172,N,Online,Cash
DT-20240170,2024-03-22,Kano,Sports & Outdoors,Yoga Mat,2,27.54,0,55.08,CUST-0129,Y,Marketplace,Bank Transfer
DT-20240285,2024-03-22,Lagos,Home & Garden,Table Lamp,4,26.15,15,88.91,CUST-0130,N,Phone,Bank Transfer
DT-20240311,2024-03-22,Lagos,Beauty & Health,Vitamin C Serum,4,23.78,0,95.12,CUST-0152,N,In-Store,Card
DT-20240385,2024-03-23,Abuja,Toys & Games,Building Blocks,3,28.89,15,73.67,CUST-0081,N,Online,
DT-20240438,2024-03-26,Kano,Clothing,Cotton T-Shirt,2,14.61,15,24.84,CUST-0157,Y,In-Store,Card
DT-20240303,2024-03-27,Lagos,Beauty & Health,Face Moisturiser,3,18.6,0,55.8,CUST-0167,N,Online,Bank Transfer
DT-20240368,2024-03-27,Ibadan,Electronics,Power Bank,1,19.73,5,18.74,CUST-0093,N,Online,Card
DT-20240466,2024-03-28,Abuja,Clothing,Ankara Dress,1,45.39,5,43.12,CUST-0090,N,Online,Bank Transfer
DT-20240262,2024-03-29,Lagos,Clothing,Cotton T-Shirt,6,15.73,5,89.66,CUST-0152,N,In-Store,Card
DT-20240165,2024-03-30,Kano,Toys & Games,Board Game,1,36.21,10,32.59,CUST-0046,Y,Online,Card
DT-20240030,2024-03-31,Benin City,Home & Garden,Table Lamp,4,26.9,15,91.46,CUST-0007,N,Marketplace,Card
DT-20240287,2024-03-31,Jos,Beauty & Health,Vitamin C Serum,1,23.74,0,23.74,CUST-0122,N,Online,Bank Transfer
DT-20240298,2024-04-02,Kaduna,Electronics,Smart Watch,6,129.28,15,659.33,CUST-0125,N,Marketplace,Card
DT-20240133,2024-04-05,Port Harcourt,Electronics,Bluetooth Speaker,2,35.23,0,70.46,CUST-0128,N,Phone,Card
DT-20240219,2024-04-05,Abuja,Food & Drink,Herbal Tea Pack,5,10.68,0,53.4,CUST-0116,N,Marketplace,Card
DT-20240421,2024-04-07,Abuja,Sports & Outdoors,Hiking Backpack,3,67.53,0,202.59,CUST-0153,N,Phone,Card
DT-20240004,2024-04-08,Enugu,Books & Stationery,Fountain Pen,1,16.31,5,15.49,CUST-0012,N,Phone,Card
DT-20240167,2024-04-08,Kaduna,Home & Garden,Cookware Set,2,91.85,20,146.96,CUST-0085,N,In-Store,Bank Transfer
DT-20240330,2024-04-09,Abuja,Sports & Outdoors,Water Bottle,3,12.96,10,34.99,CUST-0046,Y,Online,Cash
DT-20240420,2024-04-10,Port Harcourt,Home & Garden,Cookware Set,1,87.02,5,82.67,CUST-0135,N,Online,Bank Transfer
DT-20240274,2024-04-12,Lagos,Home & Garden,Throw Blanket,2,29.9,0,59.8,CUST-0053,N,Online,Bank Transfer
DT-20240460,2024-04-12,Lagos,Home & Garden,Cookware Set,1,94.21,10,84.79,CUST-0071,N,Phone,Card
DT-20240492,2024-04-12,Ibadan,Clothing,Cotton T-Shirt,4,14.74,0,58.96,CUST-0046,N,Online,
DT-20240461,2024-04-15,Port Harcourt,Food & Drink,Coffee Beans 1kg,1,19.38,0,19.38,CUST-0141,N,Online,Bank Transfer
DT-20240062,2024-04-16,Ibadan,Clothing,Running Shoes,3,59.37,5,169.2,CUST-0068,N,Online,Wallet
DT-20240026,2024-04-17,Enugu,Toys & Games,Board Game,5,34.44,10,154.98,CUST-0053,N,Marketplace,Card
DT-20240269,2024-04-17,Abuja,Electronics,Wireless Headphones,3,52.83,10,142.64,CUST-0018,N,Phone,Card
DT-20240378,2024-04-17,Abuja,Electronics,Wireless Headphones,2,52.03,10,93.65,CUST-0026,N,In-Store,
DT-20240043,2024-04-19,Lagos,Clothing,Ankara Dress,1,47.96,0,47.96,CUST-0105,N,In-Store,Card
DT-20240234,2024-04-19,Ibadan,Beauty & Health,Face Moisturiser,3,18.21,5,51.9,CUST-0039,Y,In-Store,Card
DT-20240324,2024-04-21,Lagos,Toys & Games,Building Blocks,2,29.66,0,59.32,CUST-0160,N,In-Store,Bank Transfer
DT-20240489,2024-04-21,Jos,Sports & Outdoors,Hiking Backpack,1,63.37,0,63.37,CUST-0164,N,Marketplace,Bank Transfer
DT-20240357,2024-04-22,Benin City,Sports & Outdoors,Hiking Backpack,1,69.74,5,66.25,CUST-0154,N,In-Store,Bank Transfer
DT-20240095,2024-04-23,Owerri,Home & Garden,Cookware Set,2,86.23,0,172.46,CUST-0012,N,Marketplace,Bank Transfer
DT-20240435,2024-04-23,Enugu,Electronics,Smart Watch,2,127.31,20,203.7,CUST-0052,N,Online,Wallet
DT-20240086,2024-04-25,Benin City,Books & Stationery,Fountain Pen,2,17.79,0,35.58,CUST-0173,Y,Marketplace,Card
DT-20240078,2024-04-26,Enugu,Sports & Outdoors,Hiking Backpack,1,69.11,0,69.11,CUST-0112,Y,Phone,Wallet
DT-20240338,2024-04-26,Owerri,Home & Garden,Table Lamp,1,23.86,0,23.86,CUST-0105,N,In-Store,Card
DT-20240083,2024-04-27,Ibadan,Beauty & Health,Face Moisturiser,4,20.29,15,68.99,CUST-0091,N,Online,Cash
DT-20240388,2024-04-27,Abuja,Clothing,Cotton T-Shirt,3,14.44,0,43.32,CUST-0073,N,Online,Card
DT-20240409,2024-04-28,Port Harcourt,Electronics,Wireless Headphones,1,52.91,0,52.91,CUST-0049,N,In-Store,Card
DT-20240422,2024-04-29,Lagos,Electronics,Bluetooth Speaker,6,36.04,0,216.24,CUST-0096,N,In-Store,Card
DT-20240038,2024-04-30,Ibadan,Books & Stationery,Notebook A5,1,7.24,10,6.52,CUST-0058,N,Online,Card
DT-20240169,2024-04-30,Kano,Electronics,Wireless Headphones,1,48.69,0,48.69,CUST-0069,Y,Online,Card
DT-20240019,2024-05-01,Lagos,Home & Garden,Throw Blanket,2,31.03,0,62.06,CUST-0125,N,Marketplace,Cash
DT-20240223,2024-05-01,Lagos,Books & Stationery,Fountain Pen,5,16.72,0,83.6,CUST-0151,N,Marketplace,Card
DT-20240179,2024-05-03,Lagos,Electronics,Wireless Headphones,3,47.7,5,135.95,CUST-0026,N,Online,Wallet
DT-20240237,2024-05-03,Port Harcourt,Sports & Outdoors,Hiking Backpack,4,67.2,10,241.92,CUST-0153,N,Marketplace,Card
DT-20240186,2024-05-04,Enugu,Clothing,Cotton T-Shirt,1,14.65,10,13.19,CUST-0053,N,Online,Cash
DT-20240437,2024-05-05,Port Harcourt,Clothing,Cotton T-Shirt,2,15.26,10,27.47,CUST-0102,Y,Online,
DT-20240427,2024-05-06,Owerri,Food & Drink,Protein Powder,2,29.22,5,55.52,CUST-0079,N,Online,Card
DT-20240018,2024-05-07,Benin City,Beauty & Health,Face Moisturiser,1,18.65,0,18.65,CUST-0020,N,Marketplace,Card
DT-20240329,2024-05-08,Lagos,Toys & Games,Building Blocks,4,28.11,10,101.2,CUST-0114,N,Marketplace,Card
DT-20240129,2024-05-09,Enugu,Home & Garden,Cookware Set,2,91.97,5,174.74,CUST-0092,N,Online,Wallet
DT-20240364,2024-05-09,Jos,Clothing,Denim Jeans,4,40.14,5,152.53,CUST-0148,N,In-Store,Bank Transfer
DT-20240443,2024-05-09,Lagos,Home & Garden,Cookware Set,5,87.6,20,350.4,CUST-0128,N,In-Store,
DT-20240331,2024-05-10,Lagos,Books & Stationery,Notebook A5,2,6.98,5,13.26,CUST-0120,N,Online,Bank Transfer
DT-20240049,2024-05-11,Kaduna,Electronics,Smart Watch,2,127.52,0,255.04,CUST-0043,N,Marketplace,Bank Transfer
DT-20240295,2024-05-12,Enugu,Home & Garden,Throw Blanket,5,31.77,0,158.85,CUST-0144,N,Online,Card
DT-20240465,2024-05-12,Owerri,Sports & Outdoors,Water Bottle,2,13.63,20,21.81,CUST-0101,N,Marketplace,Wallet
DT-20240033,2024-05-13,Lagos,Food & Drink,Coffee Beans 1kg,4,20.76,0,83.04,CUST-0068,N,In-Store,
DT-20240348,2024-05-13,Port Harcourt,Food & Drink,Herbal Tea Pack,4,10.24,0,40.96,CUST-0139,N,Phone,
DT-20240216,2024-05-14,Ibadan,Sports & Outdoors,Water Bottle,5,12.51,0,62.55,CUST-0126,N,In-Store,Bank Transfer
DT-20240373,2024-05-14,Abuja,Food & Drink,Protein Powder,2,31.61,0,63.22,CUST-0024,N,In-Store,Cash
DT-20240053,2024-05-17,Abuja,Food & Drink,Herbal Tea Pack,2,10.54,5,20.03,CUST-0063,N,Online,Cash
DT-20240162,2024-05-18,Owerri,Sports & Outdoors,Hiking Backpack,3,69.55,10,187.78,CUST-0179,N,Online,Cash
DT-20240380,2024-05-18,Kaduna,Clothing,Running Shoes,1,58.39,5,55.47,CUST-0143,N,Online,Card
DT-20240045,2024-05-19,Kano,Clothing,Running Shoes,4,61.19,10,220.28,CUST-0008,N,In-Store,Bank Transfer
DT-20240085,2024-05-19,Benin City,Sports & Outdoors,Yoga Mat,4,27.32,15,92.89,CUST-0066,Y,Marketplace,Bank Transfer
DT-20240258,2024-05-20,Abuja,Clothing,Running Shoes,2,60.86,0,121.72,CUST-0039,N,In-Store,Wallet
DT-20240282,2024-05-21,Kano,Beauty & Health,Vitamin C Serum,2,22.99,5,43.68,CUST-0159,N,In-Store,
DT-20240428,2024-05-21,Kaduna,Electronics,Bluetooth Speaker,2,36.35,0,72.7,CUST-0161,N,Online,Wallet
DT-20240067,2024-05-22,Lagos,Books & Stationery,Fountain Pen,4,17.41,0,69.64,CUST-0150,N,Phone,Bank Transfer
DT-20240122,2024-05-24,Kaduna,Books & Stationery,Fountain Pen,1,18.14,10,16.33,CUST-0129,N,Marketplace,Bank Transfer
DT-20240151,2024-05-26,Port Harcourt,Electronics,Bluetooth Speaker,1,33.46,5,31.79,CUST-0028,N,Marketplace,Bank Transfer
DT-20240239,2024-05-26,Ibadan,Electronics,Wireless Headphones,1,47.58,15,40.44,CUST-0129,N,Online,Card
DT-20240384,2024-05-26,Kano,Clothing,Ankara Dress,2,46.68,10,84.02,CUST-0038,N,In-Store,Card
DT-20240063,2024-05-27,Enugu,Electronics,Wireless Headphones,2,48.51,10,87.32,CUST-0180,N,Online,Card
DT-20240070,2024-05-27,Kano,Home & Garden,Cookware Set,3,94.34,10,254.72,CUST-0179,N,Online,Bank Transfer
